Distribution Date,Producer Code,Product ID,Product,Quantity,Unit Cost,Unit Price
07/15/2022,HAF,3266,"Onions, Scallions",10,3375,3746
07/15/2022,YMF,3266,"Onions, Scallions",3,3375,3746
07/15/2022,CBO,3138,"Greens, Collards",10,4275,4745
07/15/2022,CMA,3266,"Onions, Scallions",5,3375,3746
07/15/2022,D2D,3138,"Greens, Collards",18,4275,4745
07/15/2022,ONC,3266,"Onions, Scallions",5,3375,3746
07/15/2022,RSV,3362,"Cucumbers, Pickling",12,2400,2664
07/15/2022,D2D,3813,"Greens, Kale",16,4275,4745
07/15/2022,NTN,3813,"Greens, Kale",18,4275,4745
07/15/2022,LVO,3138,"Greens, Collards",5,4275,4745
07/20/2022,CHO,3278,"Radish, Red, Bunched w/Tops",20,4350,4829
07/20/2022,D2D,3278,"Radish, Red, Bunched w/Tops",10,4350,4829
07/20/2022,NTN,3813,"Greens, Kale",10,4275,4745
07/20/2022,PBY,3809,"Beans, Green, Yellow, or Purple",4,7100,7881
07/20/2022,YMF,3362,"Cucumbers, Pickling",11,2400,2664
07/20/2022,D2D,3813,"Greens, Kale",5,4275,4745
07/20/2022,LVO,3138,"Greens, Collards",1,4275,4745
07/20/2022,JWI,3138,"Greens, Collards",4,4275,4745
07/20/2022,CBO,3138,"Greens, Collards",3,4275,4745
07/20/2022,JWI,3813,"Greens, Kale",5,4275,4745
07/27/2022,KSL,3669,"Greens, Chard",13,4275,4745
07/27/2022,CBO,3669,"Greens, Chard",10,4275,4745
07/27/2022,CVP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
07/27/2022,D2D,3278,"Radish, Red, Bunched w/Tops",8,4350,4829
07/27/2022,ONC,3809,"Beans, Green, Yellow, or Purple",4,7100,7881
07/27/2022,TXI,3826,"Greens, Sweet Potato Leaves",10,3525,3913
07/27/2022,YMF,3099,Beets Red w/greens,18,4325,4801
07/27/2022,JWI,3138,"Greens, Collards",5,4275,4745
07/27/2022,LOF,3813,"Greens, Kale",5,4275,4745
07/27/2022,KSL,3362,"Cucumbers, Pickling",11,2400,2664
07/27/2022,CBO,3813,"Greens, Kale",5,4275,4745
07/27/2022,MLG,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
07/27/2022,AFC,3138,"Greens, Collards",8,4275,4745
07/27/2022,ONC,3669,"Greens, Chard",4,4275,4745
07/27/2022,HAF,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
07/27/2022,MLG,3826,"Greens, Sweet Potato Leaves",10,3525,3913
07/27/2022,CLP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
07/27/2022,D2D,3138,"Greens, Collards",10,4275,4745
07/27/2022,NTN,3809,"Beans, Green, Yellow, or Purple",15,7100,7881
07/27/2022,D2D,3182,"Squash, Summer, Patty Pan",17,2400,2664
07/27/2022,CHO,3278,"Radish, Red, Bunched w/Tops",40,4350,4829
07/27/2022,PBY,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
07/27/2022,TEB,3099,Beets Red w/greens,10,4325,4801
07/27/2022,YMF,3809,"Beans, Green, Yellow, or Purple",22,7100,7881
07/27/2022,CLP,3182,"Squash, Summer, Patty Pan",13,2400,2664
07/27/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664
07/27/2022,SXF,3826,"Greens, Sweet Potato Leaves",50,3525,3913
07/27/2022,MMO,3813,"Greens, Kale",5,4275,4745
07/27/2022,CMU,3138,"Greens, Collards",10,4275,4745
07/27/2022,CMA,3138,"Greens, Collards",5,4275,4745
07/27/2022,CLP,3813,"Greens, Kale",10,4275,4745
07/27/2022,CMA,3669,"Greens, Chard",4,4275,4745
07/27/2022,CLP,3184,"Squash, Summer, Zucchini",18,2400,2664
07/27/2022,MMO,3669,"Greens, Chard",15,4275,4745
08/03/2022,HAF,3809,"Beans, Green, Yellow, or Purple",5,7100,7881
08/03/2022,CMA,3138,"Greens, Collards",5,4275,4745
08/03/2022,KSL,3669,"Greens, Chard",14,4275,4745
08/03/2022,CVP,3702,"Greens, Spinach, Malabar",12,3650,4052
08/03/2022,YMF,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
08/03/2022,LOF,3362,"Cucumbers, Pickling",11,2400,2664
08/03/2022,PBY,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
08/03/2022,PZM,3153,"Peppers, Jalapeno",21,3000,3329
08/03/2022,MLG,3809,"Beans, Green, Yellow, or Purple",5,7100,7881
08/03/2022,MMO,3669,"Greens, Chard",11,4275,4745
08/03/2022,TXI,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/03/2022,MLG,3702,"Greens, Spinach, Malabar",14,3650,4052
08/03/2022,D2D,3182,"Squash, Summer, Patty Pan",3,2400,2664
08/03/2022,D2D,3138,"Greens, Collards",10,4275,4745
08/03/2022,LEE,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
08/03/2022,CMU,3138,"Greens, Collards",10,4275,4745
08/03/2022,MHA,3362,"Cucumbers, Pickling",6,2400,2664
08/03/2022,MLG,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/03/2022,CLP,3182,"Squash, Summer, Patty Pan",15,2400,2664
08/03/2022,ONC,3754,Cabbage,10,4075,4523
08/03/2022,JWI,3138,"Greens, Collards",10,4275,4745
08/03/2022,LDX,3754,Cabbage,5,4075,4523
08/03/2022,CBS,3361,"Cucumbers, Slicing",8,2400,2664
08/03/2022,LOF,3364,"Greens, Mustard",13,4275,4745
08/03/2022,AGF,3404,Tomatillos,12,3275,3635
08/03/2022,CMA,3813,"Greens, Kale",5,4275,4745
08/03/2022,D2D,3278,"Radish, Red, Bunched w/Tops",16,4350,4829
08/03/2022,BXF,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/03/2022,AFC,3138,"Greens, Collards",8,4275,4745
08/03/2022,TXI,3362,"Cucumbers, Pickling",11,2400,2664
08/03/2022,MMO,3813,"Greens, Kale",5,4275,4745
08/03/2022,NTN,3809,"Beans, Green, Yellow, or Purple",15,7100,7881
08/03/2022,SXF,3826,"Greens, Sweet Potato Leaves",50,3525,3913
08/05/2022,LDX,3153,"Peppers, Jalapeno",10,3000,3329
08/05/2022,MHG,3362,"Cucumbers, Pickling",15,2400,2664
08/05/2022,MHG,3184,"Squash, Summer, Zucchini",5,2400,2664
08/05/2022,LOF,3362,"Cucumbers, Pickling",2,2400,2664
08/10/2022,JWI,3138,"Greens, Collards",1,4275,4745
08/10/2022,JWI,3813,"Greens, Kale",5,4275,4745
08/10/2022,CLP,3182,"Squash, Summer, Patty Pan",10,2400,2664
08/10/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664
08/10/2022,SRF,3759,Onions,70,4625,5134
08/10/2022,NTN,3809,"Beans, Green, Yellow, or Purple",15,7100,7881
08/10/2022,D2D,3182,"Squash, Summer, Patty Pan",15,2400,2664
08/10/2022,SXF,3826,"Greens, Sweet Potato Leaves",50,3525,3913
08/10/2022,MLG,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/10/2022,MMO,3813,"Greens, Kale",5,4275,4745
08/10/2022,CMA,3669,"Greens, Chard",5,4275,4745
08/10/2022,CMA,3754,Cabbage,10,4075,4523
08/10/2022,HAF,3809,"Beans, Green, Yellow, or Purple",5,7100,7881
08/10/2022,ONC,3669,"Greens, Chard",5,4275,4745
08/10/2022,LFF,3775,Kohlrabi,18,3500,3885
08/10/2022,HAF,3362,"Cucumbers, Pickling",6,2400,2664
08/10/2022,PZM,3153,"Peppers, Jalapeno",11,3000,3329
08/10/2022,YMF,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
08/10/2022,CLP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/10/2022,PBY,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
08/10/2022,CBO,3813,"Greens, Kale",5,4275,4745
08/10/2022,CLP,3813,"Greens, Kale",10,4275,4745
08/10/2022,CVP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/10/2022,LDX,3153,"Peppers, Jalapeno",10,3000,3329
08/10/2022,LOF,3813,"Greens, Kale",5,4275,4745
08/10/2022,CLP,3184,"Squash, Summer, Zucchini",8,2400,2664
08/10/2022,TXI,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/10/2022,MLG,3854,"Greens, Pumpkin Vine",12,3650,4052
08/10/2022,ONC,3754,Cabbage,5,4075,4523
08/10/2022,AFC,3138,"Greens, Collards",8,4275,4745
08/10/2022,LFF,3153,"Peppers, Jalapeno",15,3000,3329
08/10/2022,MLG,3759,Onions,10,4625,5134
08/10/2022,SRF,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
08/12/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664
08/12/2022,D2D,3813,"Greens, Kale",7,4275,4745
08/12/2022,D2D,3166,"Potatoes, Red",1,5725,6355
08/12/2022,YMF,3362,"Cucumbers, Pickling",5,2400,2664
08/12/2022,NTN,3809,"Beans, Green, Yellow, or Purple",15,7100,7881
08/12/2022,LEE,3809,"Beans, Green, Yellow, or Purple",10,7100,7881
08/12/2022,HOP,3099,Beets Red w/greens,10,4325,4801
08/12/2022,D2D,3138,"Greens, Collards",19,4275,4745
08/12/2022,CBS,3404,Tomatillos,17,3275,3635
08/12/2022,MFP,3266,"Onions, Scallions",6,3375,3746
08/17/2022,CBO,3138,"Greens, Collards",5,4275,4745
08/17/2022,CLP,3717,"Eggplant, Globe",2,3700,4107
08/17/2022,CMA,3138,"Greens, Collards",4,4275,4745
08/17/2022,PBY,3717,"Eggplant, Globe",15,3700,4107
08/17/2022,BXF,3854,"Greens, Pumpkin Vine",12,3650,4052
08/17/2022,PLT,3702,"Greens, Spinach, Malabar",12,3650,4052
08/17/2022,YMF,3853,"Greens, Eggplant-12 ct ",20,3650,4052
08/17/2022,AGF,3734,"Melon, Honeydew",50,2675,2969
08/17/2022,MLG,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/17/2022,KHF,3201,"Tomatoes, Roma",15,4050,4496
08/17/2022,PBY,3668,"Eggplant, Japanese",10,3425,3802
08/17/2022,BXF,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/17/2022,CVP,3702,"Greens, Spinach, Malabar",10,3650,4052
08/17/2022,HOP,3717,"Eggplant, Globe",10,3700,4107
08/17/2022,CLP,3668,"Eggplant, Japanese",25,3425,3802
08/17/2022,MHA,3362,"Cucumbers, Pickling",11,2400,2664
08/17/2022,CLP,3362,"Cucumbers, Pickling",7,2400,2664
08/17/2022,LDX,3153,"Peppers, Jalapeno",10,3000,3329
08/17/2022,KHF,3668,"Eggplant, Japanese",16,3425,3802
08/17/2022,TXI,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/17/2022,BXF,3138,"Greens, Collards",6,4275,4745
08/17/2022,BXF,3702,"Greens, Spinach, Malabar",12,3650,4052
08/17/2022,KHF,3153,"Peppers, Jalapeno",49,3000,3329
08/17/2022,PLT,3854,"Greens, Pumpkin Vine",14,3650,4052
08/17/2022,TXI,3702,"Greens, Spinach, Malabar",12,3650,4052
08/17/2022,PLT,3853,"Greens, Eggplant-12 ct ",20,3650,4052
08/17/2022,YMF,3717,"Eggplant, Globe",10,3700,4107
08/17/2022,YMF,3668,"Eggplant, Japanese",10,3425,3802
08/17/2022,AGF,3404,Tomatillos,46,3275,3635
08/17/2022,CBS,3153,"Peppers, Jalapeno",12,3000,3329
08/17/2022,MLG,3702,"Greens, Spinach, Malabar",14,3650,4052
08/17/2022,AFC,3138,"Greens, Collards",8,4275,4745
08/17/2022,TXI,3362,"Cucumbers, Pickling",10,2400,2664
08/17/2022,KHF,3202,"Tomatoes, Slicers",39,4600,5106
08/17/2022,LOF,3362,"Cucumbers, Pickling",11,2400,2664
08/17/2022,MLG,3854,"Greens, Pumpkin Vine",14,3650,4052
08/17/2022,AGF,3733,"Melon, Cantaloupe",100,2675,2969
08/17/2022,CLP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/17/2022,PLT,3668,"Eggplant, Japanese",10,3425,3802
08/17/2022,YMF,3702,"Greens, Spinach, Malabar",14,3650,4052
08/17/2022,MFP,3153,"Peppers, Jalapeno",10,3000,3329
08/17/2022,CBS,3404,Tomatillos,120,3275,3635
08/17/2022,LFF,3153,"Peppers, Jalapeno",19,3000,3329
08/17/2022,DTF,3202,"Tomatoes, Slicers",51,4600,5106
08/17/2022,LOF,3364,"Greens, Mustard",5,4275,4745
08/17/2022,CVP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/17/2022,SXF,3826,"Greens, Sweet Potato Leaves",50,3525,3913
08/19/2022,MLG,3759,Onions,10,4625,5134
08/19/2022,CMA,3754,Cabbage,10,4075,4523
08/19/2022,CLP,3182,"Squash, Summer, Patty Pan",9,2400,2664
08/19/2022,SRF,3759,Onions,3,4625,5134
08/19/2022,LFF,3828,"Peppers, Bell",22,4075,4523
08/19/2022,MLG,3758,"Eggplant, African (Bitter ball)",3,2400,2664
08/19/2022,PBY,3759,Onions,10,4625,5134
08/19/2022,PZM,3828,"Peppers, Bell",13,4075,4523
08/19/2022,CBS,3404,Tomatillos,123,3275,3635
08/19/2022,CMU,3138,"Greens, Collards",10,4275,4745
08/19/2022,CLP,3184,"Squash, Summer, Zucchini",7,2400,2664
08/19/2022,CAL,3153,"Peppers, Jalapeno",13,3000,3329
08/19/2022,CBS,3153,"Peppers, Jalapeno",11,3000,3329
08/19/2022,D2D,3754,Cabbage,10,4075,4523
08/19/2022,ONC,3669,"Greens, Chard",10,4275,4745
08/24/2022,D2D,3813,"Greens, Kale",9,4275,4745
08/24/2022,TXI,3702,"Greens, Spinach, Malabar",12,3650,4052
08/24/2022,MLG,3702,"Greens, Spinach, Malabar",14,3650,4052
08/24/2022,CVP,3702,"Greens, Spinach, Malabar",13,3650,4052
08/24/2022,DTF,3202,"Tomatoes, Slicers",36,4600,5106
08/24/2022,KHF,3201,"Tomatoes, Roma",30,4050,4496
08/24/2022,PLT,3702,"Greens, Spinach, Malabar",12,3650,4052
08/24/2022,PBY,3668,"Eggplant, Japanese",10,3425,3802
08/24/2022,CBS,3153,"Peppers, Jalapeno",12,3000,3329
08/24/2022,AGF,3404,Tomatillos,46,3275,3635
08/24/2022,MHG,3200,"Tomatoes, Grape",9,4050,4496
08/24/2022,PLT,3364,"Greens, Mustard",5,4275,4745
08/24/2022,PLT,3758,"Eggplant, African (Bitter ball)",22,2400,2664
08/24/2022,CBO,3813,"Greens, Kale",2,4275,4745
08/24/2022,D2D,3200,"Tomatoes, Grape",26,4050,4496
08/24/2022,YMF,3200,"Tomatoes, Grape",18,4050,4496
08/24/2022,MFP,3828,"Peppers, Bell",12,4075,4523
08/24/2022,PLT,3854,"Greens, Pumpkin Vine",24,3650,4052
08/24/2022,MLG,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/24/2022,PLT,3853,"Greens, Eggplant Leaves - 12 bunch",20,3650,4052
08/24/2022,SRF,3828,"Peppers, Bell",10,4075,4523
08/24/2022,SXF,3758,"Eggplant, African (Bitter ball)",11,2400,2664
08/24/2022,YMF,3702,"Greens, Spinach, Malabar",14,3650,4052
08/24/2022,PLT,3458,"Peppers, Habanero",10,4050,4496
08/24/2022,LDX,3754,Cabbage,10,4075,4523
08/24/2022,LDX,3153,"Peppers, Jalapeno",21,3000,3329
08/24/2022,LFF,3153,"Peppers, Jalapeno",15,3000,3329
08/24/2022,TXI,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/24/2022,CVP,3826,"Greens, Sweet Potato Leaves",11,3525,3913
08/24/2022,CLP,3813,"Greens, Kale",10,4275,4745
08/24/2022,AGF,3733,"Melon, Cantaloupe",60,2675,2969
08/24/2022,PBY,3592,Broccoli,1,3700,4107
08/24/2022,LOF,3813,"Greens, Kale",5,4275,4745
08/24/2022,CBS,3404,Tomatillos,86,3275,3635
08/24/2022,BXF,3702,"Greens, Spinach, Malabar",11,3650,4052
08/24/2022,JWI,3813,"Greens, Kale",5,4275,4745
08/24/2022,BXF,3854,"Greens, Pumpkin Vine",7,3650,4052
08/24/2022,HAF,3758,"Eggplant, African (Bitter ball)",11,2400,2664
08/24/2022,CLP,3717,"Eggplant, Globe",7,3700,4107
08/24/2022,MLG,3758,"Eggplant, African (Bitter ball)",11,2400,2664
08/24/2022,SXF,3826,"Greens, Sweet Potato Leaves",50,3525,3913
08/24/2022,MFP,3364,"Greens, Mustard",5,4275,4745
08/24/2022,KHF,3153,"Peppers, Jalapeno",23,3000,3329
08/24/2022,NTN,3813,"Greens, Kale",10,4275,4745
08/24/2022,BXF,3826,"Greens, Sweet Potato Leaves",10,3525,3913
08/24/2022,CMU,3202,"Tomatoes, Slicers",10,4600,5106
08/24/2022,MLG,3854,"Greens, Pumpkin Vine",14,3650,4052
08/24/2022,LFF,3828,"Peppers, Bell",25,4075,4523
08/24/2022,TXI,3758,"Eggplant, African (Bitter ball)",11,2400,2664
08/24/2022,AGF,3734,"Melon,  Honeydew",60,3125,3469
08/26/2022,CAL,3153,"Peppers, Jalapeno",11,3000,3329
08/26/2022,HOP,3362,"Cucumbers, Pickling",5,2400,2664
08/26/2022,D2D,3754,Cabbage,5,4075,4523
08/26/2022,TXI,3362,"Cucumbers, Pickling",10,2400,2664
08/26/2022,KHF,3668,"Eggplant, Japanese",14,3425,3802
08/26/2022,CHO,3278,"Radish, Red, Bunched w/Tops",40,4350,4829
08/26/2022,RSV,3828,"Peppers, Bell",4,4075,4523
08/26/2022,RSV,3809,"Beans, Green, Yellow, or Purple",4,7100,7881
08/26/2022,LEE,3828,"Peppers, Bell",10,4075,4523
08/26/2022,MLG,3759,Onions,10,4625,5134
08/26/2022,RSV,3362,"Cucumbers, Pickling",1,2400,2664
08/26/2022,CMA,3813,"Greens, Kale",3,4275,4745
08/26/2022,TXI,3826,"Greens, Sweet Potato Leaves",15,3525,3913
08/26/2022,CBO,3813,"Greens, Kale",5,4275,4745
08/26/2022,KHF,3853,"Greens, Eggplant Leaves - 12 bunch",10,3650,4052
08/26/2022,TXI,3702,"Greens, Malabar",15,3650,4052
08/26/2022,PBY,3717,"Eggplant, Globe",7,3700,4107
08/26/2022,LFF,3775,Kohlrabi,25,3500,3885
08/26/2022,PZM,3153,"Peppers, Jalapeno",10,3000,3329
08/26/2022,LOF,3362,"Cucumbers, Pickling",16,2400,2664
08/31/2022,D2D,3754,Cabbage,5,4075,4523
08/31/2022,SXF,3758,"Eggplant, African (Bitter ball)",11,2400,2664
08/31/2022,PLT,3854,"Greens, Pumpkin Vine",14,3650,4052
08/31/2022,DTF,3202,"Tomatoes, Slicers",36,4600,5106
08/31/2022,CHO,3278,"Radish, Red, Bunched w/Tops",60,4350,4829
08/31/2022,MLG,3364,"Greens, Mustard",10,4275,4745
08/31/2022,CBO,3138,"Greens, Collards",5,4275,4745
08/31/2022,MFP,3364,"Greens, Mustard",5,4275,4745
08/31/2022,TXI,3758,"Eggplant, African (Bitter ball)",22,2400,2664
08/31/2022,PBY,3201,"Tomatoes, Roma",18,4050,4496
08/31/2022,CAL,3153,"Peppers, Jalapeno",12,3000,3329
08/31/2022,KHF,3153,"Peppers, Jalapeno",13,3000,3329
08/31/2022,YMF,3754,Cabbage,10,4075,4523
08/31/2022,MFP,3153,"Peppers, Jalapeno",10,3000,3329
08/31/2022,CAL,3201,"Tomatoes, Roma",15,4050,4496
08/31/2022,SRF,3201,"Tomatoes, Roma",18,4050,4496
08/31/2022,MFP,3458,"Peppers, Habanero",10,4050,4496
08/31/2022,PBY,3592,Broccoli,10,3700,4107
08/31/2022,MHG,3200,"Tomatoes, Grape",6,4050,4496
08/31/2022,SRF,3759,Onions,50,4625,5134
08/31/2022,PLT,3702,"Greens, Malabar",12,3650,4052
08/31/2022,PLT,3458,"Peppers, Habanero",10,4050,4496
08/31/2022,CBS,3404,Tomatillos,66,3275,3635
08/31/2022,LFF,3828,"Peppers, Bell",10,4075,4523
08/31/2022,CBS,3153,"Peppers, Jalapeno",12,3000,3329
08/31/2022,AGF,3201,"Tomatoes, Roma",7,4050,4496
08/31/2022,D2D,3200,"Tomatoes, Grape",30,4050,4496
08/31/2022,PLT,3758,"Eggplant, African (Bitter ball)",22,2400,2664
08/31/2022,TEB,3854,"Greens, Pumpkin Vine",12,3650,4052
08/31/2022,LFF,3153,"Peppers, Jalapeno",10,3000,3329
08/31/2022,LEE,3828,"Peppers, Bell",10,4075,4523
08/31/2022,CBO,3669,"Greens, Chard",5,4275,4745
08/31/2022,PZM,3828,"Peppers, Bell",10,4075,4523
08/31/2022,HOP,3166,"Potatoes, Red",17,5725,6355
08/31/2022,LDX,3153,"Peppers, Jalapeno",10,3000,3329
08/31/2022,ONC,3754,Cabbage,9,4075,4523
09/01/2022,SRF,3135,Sweet Corn,0,3125,3469
09/01/2022,CHO,3184,"Squash, Summer, Zucchini",14,2400,2664
09/01/2022,AGF,3449,"Peppers, Poblano",6,4625,5134
09/01/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664
09/01/2022,CHO,3361,"Cucumbers, Slicing",28,2400,2664
09/01/2022,RSV,3755,Carrots,22,3675,4079
09/07/2022,CVP,3702,"Greens, Malabar",24,3650,4052
09/07/2022,PLT,3702,"Greens, Malabar",30,3650,4052
09/07/2022,MLG,3826,"Greens, Sweet Potato Leaves",10,3525,3913
09/07/2022,YMF,3853,"Greens, Eggplant Leaves - 12 bunch",40,3650,4052
09/07/2022,LOF,3813,"Greens, Kale",5,4275,4745
09/07/2022,YMF,3702,"Greens, Malabar",14,3650,4052
09/07/2022,PLT,3758,"Eggplant, African (Bitter ball)",22,2400,2664
09/07/2022,YMF,3717,"Eggplant, Globe",10,3700,4107
09/07/2022,PBY,3717,"Eggplant, Globe",15,3700,4107
09/07/2022,PLT,3364,"Greens, Mustard",5,4275,4745
09/07/2022,TEB,3266,"Onions, Scallions",10,3375,3746
09/07/2022,CLP,3813,"Greens, Kale",5,4275,4745
09/07/2022,MLG,3364,"Greens, Mustard",10,4275,4745
09/07/2022,HOP,3717,"Eggplant, Globe",10,3700,4107
09/07/2022,PLT,3458,"Peppers, Habanero",10,4050,4496
09/07/2022,RSV,3809,"Beans, Green, Yellow, or Purple",18,7100,7881
09/07/2022,TEB,3854,"Greens, Pumpkin Vine",10,3650,4052
09/07/2022,D2D,3813,"Greens, Kale",8,4275,4745
09/07/2022,MMO,3364,"Greens, Mustard",10,4275,4745
09/07/2022,SXF,3758,"Eggplant, African (Bitter ball)",11,2400,2664
09/07/2022,MLG,3702,"Greens, Malabar",14,3650,4052
09/07/2022,CMU,3202,"Tomatoes, Slicers",2,4600,5106
09/07/2022,CVP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
09/07/2022,PLT,3854,"Greens, Pumpkin Vine",20,3650,4052
09/07/2022,MMO,3813,"Greens, Kale",5,4275,4745
09/07/2022,SXF,3826,"Greens, Sweet Potato Leaves",50,3525,3913
09/07/2022,MLG,3758,"Eggplant, African (Bitter ball)",26,2400,2664
09/07/2022,TXI,3702,"Greens, Malabar",12,3650,4052
09/07/2022,CLP,3717,"Eggplant, Globe",10,3700,4107
09/07/2022,CLP,3826,"Greens, Sweet Potato Leaves",10,3525,3913
09/07/2022,NTN,3813,"Greens, Kale",10,4275,4745
09/07/2022,TXI,3758,"Eggplant, African (Bitter ball)",11,2400,2664
09/07/2022,CBO,3813,"Greens, Kale",5,4275,4745
09/07/2022,LOF,3364,"Greens, Mustard",5,4275,4745
09/07/2022,TXI,3826,"Greens, Sweet Potato Leaves",10,3525,3913
09/07/2022,PLT,3853,"Greens, Eggplant Leaves - 12 bunch",20,3650,4052
09/09/2022,CBS,3153,"Peppers, Jalapeno",12,3000,3329
09/09/2022,KHF,3202,"Tomatoes, Slicers",49,4600,5106
09/09/2022,LEE,3828,"Peppers, Bell",10,4075,4523
09/09/2022,KHF,3153,"Peppers, Jalapeno",12,3000,3329
09/09/2022,RSV,3362,"Cucumbers, Pickling",15,2400,2664
09/09/2022,MFP,3828,"Peppers, Bell",6,4075,4523
09/09/2022,RSV,3755,Carrots,22,3675,4079
09/09/2022,PBY,3201,"Tomatoes, Roma",10,4050,4496
09/09/2022,SRF,3759,Onions,70,4625,5134
09/09/2022,NTN,3449,"Peppers, Poblano",5,4625,5134
09/09/2022,NTN,3755,Carrots,22,3675,4079
09/09/2022,SXF,3826,"Greens, Sweet Potato Leaves",50,3525,3913
09/09/2022,YMF,3755,Carrots,22,3675,4079
09/09/2022,ONC,3754,Cabbage,5,4075,4523
09/09/2022,MFP,3759,Onions,20,4625,5134
09/09/2022,KHF,3201,"Tomatoes, Roma",36,4050,4496
09/09/2022,PLT,3702,"Greens, Malabar",19,3650,4052
09/09/2022,CMU,3755,Carrots,22,3675,4079
09/09/2022,CHO,3278,"Radish, Red, Bunched w/Tops",22,4350,4829
09/09/2022,CTH,3202,"Tomatoes, Slicers",15,4600,5106
09/09/2022,LFF,3153,"Peppers, Jalapeno",10,3000,3329
09/09/2022,MLG,3759,Onions,10,4625,5134
09/09/2022,LFF,3828,"Peppers, Bell",15,4075,4523
09/09/2022,MLG,3755,Carrots,22,3675,4079
