Delivery Week,Producer Code,Product ID,Product,Quantity,Cost
9/6/2021,CVP,3401,"Beans, Green, Yellow or Purple",18,6250
7/26/2021,HAF,3401,"Beans, Green, Yellow or Purple",5,6250
9/6/2021,HAF,3401,"Beans, Green, Yellow or Purple",10,6250
9/6/2021,CLP,3401,"Beans, Green, Yellow or Purple",5,6250
7/26/2021,D2D,3401,"Beans, Green, Yellow or Purple",15,6250
8/9/2021,D2D,3401,"Beans, Green, Yellow or Purple",15,6250
9/6/2021,D2D,3401,"Beans, Green, Yellow or Purple",18,6250
9/6/2021,D2D,3401,"Beans, Green, Yellow or Purple",15,6250
7/26/2021,PBY,3401,"Beans, Green, Yellow or Purple",15,6250
8/9/2021,PBY,3401,"Beans, Green, Yellow or Purple",15,6250
9/6/2021,PBY,3401,"Beans, Green, Yellow or Purple",15,6250
7/26/2021,MLG,3401,"Beans, Green, Yellow or Purple",15,6250
8/9/2021,MLG,3401,"Beans, Green, Yellow or Purple",15,6250
9/6/2021,MLG,3401,"Beans, Green, Yellow or Purple",15,6250
7/5/2021,YMF,3401,"Beans, Green, Yellow or Purple",18,6250
8/9/2021,YMF,3401,"Beans, Green, Yellow or Purple",5,6250
7/5/2021,YMF,3099,Beets w/greens,75,3600
10/11/2021,YMF,3099,Beets w/greens,75,3600
8/23/2021,HAF,3613,"Beets, Bulk",36,2631
10/4/2021,LXF,3613,"Beets, Bulk",18,2631
10/11/2021,LXF,3613,"Beets, Bulk",18,2631
10/18/2021,LXF,3613,"Beets, Bulk",18,2631
10/25/2021,LXF,3613,"Beets, Bulk",18,2631
10/4/2021,CLP,3613,"Beets, Bulk",16,2631
10/18/2021,CLP,3613,"Beets, Bulk",16,2631
10/25/2021,CLP,3613,"Beets, Bulk",16,2631
10/4/2021,MHG,3613,"Beets, Bulk",16,2631
10/11/2021,MHG,3613,"Beets, Bulk",16,2631
10/18/2021,MHG,3613,"Beets, Bulk",16,2631
10/25/2021,MHG,3613,"Beets, Bulk",16,2631
10/4/2021,PBY,3613,"Beets, Bulk",16,2631
10/11/2021,PBY,3613,"Beets, Bulk",16,2631
10/18/2021,PBY,3613,"Beets, Bulk",16,2631
10/25/2021,PBY,3613,"Beets, Bulk",16,2631
6/21/2021,PBY,3573,Bok Choi,30,4000
6/21/2021,WKH,3573,Bok Choi,10,4000
6/28/2021,WKH,3573,Bok Choi,45,4000
9/27/2021,KSL,3592,Broccoli,20,3145
10/11/2021,KSL,3592,Broccoli,20,3145
9/27/2021,MLP,3592,Broccoli,20,3145
10/11/2021,MLP,3592,Broccoli,20,3145
9/27/2021,NTN,3592,Broccoli,30,3145
10/11/2021,NTN,3592,Broccoli,30,3145
9/13/2021,PBY,3592,Broccoli,42,3145
9/27/2021,PBY,3592,Broccoli,42,3145
9/27/2021,PBY,3592,Broccoli,30,3145
10/4/2021,PBY,3592,Broccoli,42,3145
10/11/2021,PBY,3592,Broccoli,30,3145
10/18/2021,PBY,3592,Broccoli,42,3145
